year,date,median,low,high
2020,2020-11-28,2,0,7.729387433816884
2019,2020-01-21,5,0,19.080310198448313
2019,2020-11-06,7,0,22.068581832372654
2019,2020-11-09,7,0,21.66216309437629
2019,2020-03-02,7,0,21.17120286805422
2019,2020-12-25,3,0,13.625649252253192
2020,2020-06-29,3,0,9.70653290667187
2020,2020-05-24,1,0,6.048019499769219
2020,2020-10-30,3,0,9.538259728744094
2019,2020-12-20,8,0,24.415744391024045
2019,2020-02-19,7,0,24.260758329836875
2019,2020-05-20,7,0,22.068648263561656
2020,2020-04-11,1,0,5.145656981738096
2020,2020-07-01,3,0,9.649699320758563
2020,2020-07-02,3,0,10.049225014328881
2020,2020-08-26,3,0,9.67965315500918
2020,2020-09-11,4,0,11.55661415011776
2020,2020-11-27,2,0,7.7554161128940216
2019,2020-11-10,5,0,18.473851107770813
2019,2020-03-23,8,0,25.375618101524775
2019,2020-06-16,6,0,18.36410567458082
2019,2020-07-22,6,0,21.381927907877483
2019,2020-10-23,7,0,23.327877815555638
2020,2020-01-23,7,0,22.54987836677219
2020,2020-02-05,7,0,22.536938828807784
2020,2020-02-19,7,0,21.911844203977317
2020,2020-03-26,1,0,5.749823074994384
2020,2020-06-19,3,0,9.53617362274608
2019,2020-09-18,8,0,27.14942228355126
2019,2020-01-27,6,0,20.281584768704207
2019,2020-09-29,6,0,18.437651789981857
2019,2020-12-27,7,0,24.720620036112024
2020,2020-02-25,5,0,17.523063678634514
2020,2020-10-19,3,0,9.240675488178397
2020,2020-11-12,3,0,8.863388208914825
2019,2020-03-05,7,0,23.7361839867058
2019,2020-06-04,8,0,24.784366302136714
2019,2020-08-04,5,0,20.354683635544617
2019,2020-08-12,6,0,23.192339209265743
2019,2020-12-15,6,0,19.560128154797056
2020,2020-01-28,6,0,20.542190582282103
2020,2020-09-13,2,0,7.817658432495021
2020,2020-10-07,3,0,9.681558009841659
2019,2020-09-19,8,0,26.361850071566355
2020,2020-04-16,1,0,5.326600038102691
2020,2020-04-17,1,0,5.622503653271053
2020,2020-01-15,7,0,23.09295184119206
2019,2020-01-18,8,0,27.20804652600684
2019,2020-03-19,7,0,24.114377093614603
2019,2020-03-21,7,0,23.684798871722986
2019,2020-04-01,7,0,23.14392242879327
2020,2020-03-20,2,0,7.729974743570408
2020,2020-06-06,2,0,7.848195056887549
2020,2020-08-06,3,0,10.31707799931316
2020,2020-06-08,2,0,8.24279957277323
2020,2020-10-27,3,0,9.508177321174422
2019,2020-10-11,8,0,23.781433313604897
2019,2020-04-05,8,0,24.64469649563984
2020,2020-03-22,1,0,5.159531036232898
2020,2020-07-25,3,0,10.603037233546289
2019,2020-06-01,7,0,25.428257108331785
2019,2020-07-08,7,0,22.376460241555996
2019,2020-07-20,6,0,20.552899811182016
2020,2020-04-23,1,0,5.274783219032571
2020,2020-11-24,3,0,8.903939270602445
2019,2020-02-15,8,0,30.052963685786356
2019,2020-01-23,7,0,24.582699495746766
2019,2020-05-25,7,0,22.247789443931325
2020,2020-05-11,1,0,5.673550723717146
2020,2020-05-17,1,0,5.5614813911252465
2020,2020-11-05,3,0,9.363158011296504
2019,2020-12-16,7,0,22.585507807403346
2019,2020-03-04,6,0,20.54776291988664
2019,2020-10-04,8,0,42.694679496297
2020,2020-01-02,7,0,23.265133164694355
2020,2020-03-19,2,0,8.293707201688388
2020,2020-09-02,3,0,9.587465873315708
2020,2020-11-08,2,0,8.332793136339195
2019,2020-09-03,8,0,24.88048136161554
2019,2020-07-27,6,0,20.838550380959198
2020,2020-06-22,3,0,9.650145389392078
2020,2020-06-13,2,0,8.286027614520389
2020,2020-01-29,7,0,22.290802446148945
2020,2020-04-10,1,0,5.162956116599507
2019,2020-05-07,7,0,24.21298610219906
2019,2020-08-10,6,0,20.041812583211165
2020,2020-09-17,3,0,9.655789105546091
2020,2020-03-30,1,0,6.007068924625251
2019,2020-06-12,8,0,25.890351474097
2019,2020-06-28,9,0,26.841745837190043
2019,2020-08-17,6,0,21.228614801999413
2020,2020-05-29,2,0,7.775723934104199
2020,2020-06-18,2,0,8.32157119097074
2020,2020-08-14,3,0,10.331901315320072
2019,2020-01-15,7,0,26.060766717976115
2019,2020-06-18,7,0,23.781238476229035
2019,2020-07-21,5,0,18.498463544100915
2020,2020-01-01,4,0,17.370097784112765
2020,2020-04-29,1,0,5.394463375478059
2020,2020-06-10,2,0,8.204348894842926
2019,2020-12-02,5,0,18.0271155904484
2019,2020-07-11,7,0,25.134555734881364
2019,2020-04-25,8,0,30.676727611183033
2019,2020-08-30,8,0,25.02904299816599
2020,2020-09-04,3,0,10.705743447260527
2020,2020-07-09,3,0,9.997467914292375
2020,2020-10-06,3,0,9.497359082568995
2020,2020-04-04,1,0,5.114831870199323
2019,2020-06-14,9,0,26.09364936672158
2019,2020-08-20,7,0,21.738951469870642
2020,2020-01-10,9,0,26.167871556863332
2020,2020-02-08,8,0,23.300166255847614
2020,2020-05-06,1,0,5.757453203823563
2020,2020-08-16,2,0,6.869225044293488
2020,2020-10-05,3,0,9.431393180260518
2019,2020-03-22,8,0,27.62159267807808
2019,2020-12-29,5,0,19.608616210027485
2020,2020-11-22,2,0,7.2952197473509806
2020,2020-02-04,7,0,23.523815372392583
2019,2020-02-09,7,0,35.407439366557526
2019,2020-10-15,7,0,23.382063611826784
2020,2020-08-02,2,0,8.36410359407487
2020,2020-08-25,3,0,9.611419038924943
2020,2020-11-17,3,0,8.81267603675368
2020,2020-08-13,3,0,9.358110419586485
2020,2020-04-01,1,0,5.614484158204546
2019,2020-04-21,6,0,25.357897724607884
2020,2020-04-28,1,0,5.9057914576228425
2020,2020-08-21,4,0,12.716854528366694
2020,2020-11-02,3,0,9.105083389514306
2019,2020-05-11,8,0,24.35789380721237
2020,2020-09-24,3,0,9.566870014798381
