year,date,median,low,high
2019,2020-03-17,4.0,0,24.24063641762768
2019,2020-06-23,4.0,0,24.180495207682768
2020,2020-07-20,2.0,0,9.685961814062068
2020,2020-07-22,2.0,0,10.017430178208228
2020,2020-11-28,2.0,0,10.280173364610652
2019,2020-04-22,5.0,0,35.872778003401265
2019,2020-11-06,5.0,0,30.516042514669603
2019,2020-11-09,5.0,0,26.422813082330087
2019,2020-01-21,3.0,0,17.825140654985105
2019,2020-07-16,6.0,0,31.7516814064269
2019,2020-08-02,6.0,0,31.85943681190003
2019,2020-08-26,5.0,0,27.813478851025998
2020,2020-01-04,5.0,0,30.73688895105909
2020,2020-02-26,6.0,0,33.775365643371444
2020,2020-08-09,1.0,0,7.522549763114378
2020,2020-10-03,2.0,0,11.023272632028553
2019,2020-07-10,6.0,0,32.22220116815713
2019,2020-09-11,7.0,0,36.773643430782606
2020,2020-03-15,2.0,0,14.48950610945513
2020,2020-04-22,1.0,0,6.234054244023948
2019,2020-12-25,2.0,0,15.249705632979099
2020,2020-05-24,1.0,0,6.951834991842996
2020,2020-06-29,2.0,0,9.649934945793316
2020,2020-10-30,2.0,0,11.289504838798198
2019,2020-12-20,6.0,0,35.01736405560706
2019,2020-03-02,5.0,0,24.940213712095066
2019,2020-02-19,5.0,0,32.006360389796754
2020,2020-04-11,0.0,0,5.17344957866489
2020,2020-07-01,2.0,0,10.066566328982379
2020,2020-07-02,2.0,0,10.190636015922136
2020,2020-08-26,2.0,0,10.058693050744383
2020,2020-11-27,2.0,0,11.447463570614662
2019,2020-05-20,5.0,0,30.645467396733434
2019,2020-11-10,4.0,0,23.65937478626629
2020,2020-09-11,3.0,0,12.34829721100666
2019,2020-03-23,5.0,0,30.544630017295045
2019,2020-06-16,4.0,0,20.534702623641312
2019,2020-09-18,7.0,0,37.05661894315999
2019,2020-10-23,6.0,0,32.36164520698574
2020,2020-01-23,5.0,0,29.061776707984272
2020,2020-02-19,5.0,0,28.72107946171193
2020,2020-03-26,1.0,0,6.717249468644309
2020,2020-06-19,2.0,0,10.091172095035715
2019,2020-07-22,5.0,0,29.131348278458056
2020,2020-02-05,5.0,0,30.20413766707445
2019,2020-01-27,4.0,0,22.490051164967866
2019,2020-12-27,5.0,0,38.86420274240073
2020,2020-02-25,4.0,0,23.134188046674808
2020,2020-11-12,2.0,0,9.926461496510917
2019,2020-09-29,4.0,0,20.838844486969798
2020,2020-10-19,2.0,0,10.583400047651736
2019,2020-01-18,6.0,0,29.5878499225726
2019,2020-03-19,6.0,0,33.56889375657313
2019,2020-03-21,5.0,0,33.6879719397261
2019,2020-04-01,5.0,0,33.291272297974345
2019,2020-10-11,6.0,0,31.741841933095206
2020,2020-03-20,2.0,0,9.089421103942781
2020,2020-06-06,1.0,0,7.59807814690132
2020,2020-06-08,2.0,0,9.404012347140444
2020,2020-08-06,3.0,0,11.80148348138567
2020,2020-10-27,2.0,0,10.922598087044825
2019,2020-04-05,6.0,0,35.91204818272334
2019,2020-06-01,5.0,0,29.4120644464736
2020,2020-03-22,1.0,0,6.2152285666130656
2020,2020-07-25,2.0,0,9.8192623997919
2019,2020-07-08,5.0,0,28.832842909681645
2019,2020-03-16,6.0,0,31.741883022071296
2019,2020-08-31,5.0,0,27.44411024939237
2019,2020-11-29,4.0,0,34.23817204967793
2020,2020-01-31,6.0,0,36.33357025415134
2019,2020-06-12,6.0,0,33.41126058819674
2019,2020-06-28,7.0,0,34.460820668944955
2019,2020-08-17,4.0,0,24.174354933100076
2020,2020-05-29,1.0,0,7.4575121030955565
2020,2020-08-14,2.0,0,10.813030583584712
2020,2020-06-18,2.0,0,9.598856028950372
2019,2020-05-04,6.0,0,29.86068639006219
2019,2020-06-24,6.0,0,33.73945759249342
2020,2020-04-12,0.0,0,3.6598369832937654
2019,2020-03-12,5.0,0,33.4803457483807
2019,2020-04-30,5.0,0,34.56336907896908
2019,2020-09-16,6.0,0,35.20936413841005
2020,2020-02-02,4.0,0,20.266983376281416
