year,date,median,low,high
2020,2020-06-04,4,0,23.484729839701927
2019,2020-03-30,16,0,87.54853207095076
2019,2020-08-23,16,0,115.2800313544779
2019,2020-12-17,16,0,85.32000098318099
2019,2020-04-28,10,0,148.70738059588783
2019,2020-09-20,20,0,79.60190531658611
2019,2020-11-18,15,0,65.60001626244323
2020,2020-05-31,2,0,23.28560746440642
2020,2020-11-25,7,0,38.77789674952122
2020,2020-04-21,2,0,20.74140146717967
2020,2020-05-02,2,0,24.955161708703862
2019,2020-02-03,9,0,53.58703657249446
2020,2020-05-21,3,0,29.138730542692365
2020,2020-06-12,5,0,31.596567108902583
2020,2020-07-24,8,0,45.29268419440597
2020,2020-09-14,7,0,41.908753714431825
2019,2020-01-25,20,0,73.23274952159171
2019,2020-10-08,18,0,85.2460669130425
2019,2020-10-13,10,0,67.03121161783906
2020,2020-08-27,8,0,38.835893198704866
2019,2020-01-14,17,0,59.78636076481112
2019,2020-02-10,10,0,64.57738064867557
2019,2020-05-28,16,0,74.56095696791878
2019,2020-09-05,18,0,130.56697397489063
2020,2020-05-08,3,0,24.13425437157824
2020,2020-09-10,7,0,41.366255950024566
2019,2020-09-12,18,0,120.24580169561023
2020,2020-05-30,3,0,25.705565925423304
2020,2020-10-22,10,0,40.50381006400597
2020,2020-06-01,4,0,25.358848035780333
2020,2020-08-24,8,0,39.65948148726363
2019,2020-04-07,12,0,74.34077461125389
2019,2020-08-22,16,0,118.07793814047055
2019,2020-11-26,19,0,76.42031520213449
2019,2020-12-19,18,0,108.81425841652704
2020,2020-03-02,16,0,70.63223493683813
2019,2020-01-30,14,0,53.74411193211753
2020,2020-11-26,2,0,7.11687276819069
2019,2020-01-17,18,0,66.19262423453009
2019,2020-02-16,15,0,82.79772174229993
2019,2020-04-10,19,0,70.88793700811789
2019,2020-05-29,18,0,73.76539584494293
2019,2020-07-06,13,0,81.73247614131886
2019,2020-07-24,18,0,74.59363291293707
2020,2020-04-07,2,0,20.65005724714823
2019,2020-01-22,16,0,59.96622366243335
2019,2020-08-19,17,0,149.1252509434272
2019,2020-12-18,19,0,104.80498277178847
2020,2020-02-22,13,0,108.59188135991093
2020,2020-02-23,11,0,74.53875222703552
2019,2020-09-27,18,0,135.4822574676186
2019,2020-02-24,10,0,55.00718729953052
2020,2020-01-13,17,0,70.28449717551985
2019,2020-08-05,17,0,63.77249255919354
2019,2020-10-17,16,0,68.90784200779983
2020,2020-03-14,11,0,66.78841530345636
2020,2020-06-16,5,0,32.102452793592306
2020,2020-07-27,7,0,36.525713456495325
2020,2020-09-28,6,0,46.58827447076345
2020,2020-10-01,8,0,41.5644615517014
2019,2020-02-23,14,0,81.09875344906158
2019,2020-06-21,19,0,84.66291717512068
2019,2020-07-04,9,0,56.65429655293082
2019,2020-09-04,21,0,150.36728912745153
2019,2020-12-10,18,0,76.68926281737504
2020,2020-05-10,2,0,22.878128801428407
2019,2020-09-28,13,0,124.64561151599764
2019,2020-11-11,16,0,83.43352066217446
2020,2020-05-15,3,0,24.759589042069997
2020,2020-09-30,8,0,38.8345537051026
2020,2020-11-03,7,0,37.068189391422166
2020,2020-06-05,3,0,23.35017582796407
2019,2020-02-04,17,0,57.830662870189855
2019,2020-05-05,8,0,71.5677106830875
2020,2020-04-13,1,0,15.60766775894785
2019,2020-11-12,15,0,64.65653039515028
2019,2020-02-21,17,0,65.52756378593499
2019,2020-09-09,20,0,108.80098924861032
2020,2020-11-23,7,0,39.95153266147141
2019,2020-07-15,17,0,78.63483188001555
2019,2020-03-15,20,0,74.16518865977554
2019,2020-05-23,18,0,61.86587448826252
2019,2020-06-08,18,0,103.61920434965529
2020,2020-03-11,14,0,62.97088256837607
2020,2020-09-19,7,0,56.44594488020465
2019,2020-04-02,17,0,68.02388037830445
2019,2020-07-25,18,0,74.79321703426578
2019,2020-11-13,16,0,68.63875432019897
2019,2020-12-07,18,0,121.6669269985736
2019,2020-10-21,16,0,66.89860955024129
2020,2020-06-27,5,0,40.66673423410977
2019,2020-02-06,16,0,59.10943860564936
2019,2020-03-03,12,0,65.64596974520346
